,1,building_id,name,building_type_id,year_built,base_area,stories,un_residential_floor,building_sqft,non_residential_sqft,p_ruzhulv,job_type_name,parcel_id2,geometry,kindergarten_weight,primary_weight,middle_weight,high_weight,school_cap_round
73,5154.0,5101.0,万家湖小学,5.0,2021.0,1996.0,5.0,0.0,9981.0,9981,0.5,retail,426,"POLYGON Z ((114.1699299183005 30.466494201306467 0, 114.17036235780661 30.466452620584725 0, 114.17023761564138 30.466003548789914 0, 114.16983012456832 30.466082552161225 0, 114.1699299183005 30.466494201306467 0))",0.0,1.0,0.0,0.0,665.0
74,5344.0,5310.0,沌口小学,5.0,1926.0,1720.0,6.0,0.0,10320.0,10320,0.8,service,429,"POLYGON Z ((114.18246276077927 30.466081488690417 0, 114.18250471445553 30.46608807285866 0, 114.18250569400004 30.46609169800007 0, 114.18251564267501 30.46608978792256 0, 114.18253681700003 30.466093111000077 0, 114.18253491900009 30.466086087000065 0, 114.18253256000003 30.466077315000064 0, 114.18253019000008 30.466068544000052 0, 114.18251478900004 30.466011439000056 0, 114.1828512620001 30.46594684900009 0, 114.18285624800001 30.46594588800008 0, 114.18285219100005 30.465930875000083 0, 114.18288855500009 30.46592389600005 0, 114.18286764800007 30.46584639300005 0, 114.18283137900005 30.465853696000067 0, 114.18249038900001 30.465919159000066 0, 114.18243654500009 30.465724678000072 0, 114.18277693800007 30.465658180000048 0, 114.18277332000002 30.465644977000068 0, 114.18281080300005 30.46563765500008 0, 114.18279634500004 30.465584979000084 0, 114.18278913200004 30.46555868200005 0, 114.18241025400005 30.465632697000046 0, 114.18239646800009 30.465582425000036 0, 114.1823722580001 30.46549211300004 0, 114.18241245800004 30.46548428500006 0, 114.18244715000003 30.465477536000037 0, 114.18245394900009 30.465496649000045 0, 114.182459773 30.465497887000083 0, 114.18247966800004 30.46549837400005 0, 114.18250541200007 30.465494211000077 0, 114.18253013800006 30.465483246000076 0, 114.18253426500007 30.46548034600005 0, 114.18252916900008 30.465460832000076 0, 114.18256315000008 30.465454096000087 0, 114.18255671700001 30.465422483000054 0, 114.18257834200006 30.46541768800006 0, 114.18257941700006 30.46540206600008 0, 114.18257535500004 30.46538139100005 0, 114.18257092400006 30.465369854000073 0, 114.18255930800001 30.465354706000085 0, 114.18253802600009 30.465357732000086 0, 114.18253021400005 30.46532700000006 0, 114.18249247000006 30.46533369900004 0, 114.18248668300009 30.46531271500004 0, 114.18247503500004 30.465310833000046 0, 114.18244791900008 30.465312630000085 0, 114.18241873800002 30.465321181000036 0, 114.18240499800004 30.465329593000035 0, 114.182410774 30.465349992000085 0, 114.18237744100009 30.46535616700004 0, 114.1823860070001 30.46538750800005 0, 114.18230240800006 30.465403778000052 0, 114.1823288600001 30.46550056500007 0, 114.18233897800008 30.46549858900005 0, 114.18236505800007 30.46558856000007 0, 114.18231071600007 30.46559917400009 0, 114.1823497900001 30.465741622000053 0, 114.18233102800002 30.46574528700006 0, 114.182320377 30.465747349000083 0, 114.18237240200006 30.46594114000004 0, 114.18238380500009 30.46593893100004 0, 114.18238398400001 30.465939589000072 0, 114.1824046700001 30.46593561600008 0, 114.18241176700008 30.46596192800007 0, 114.1824449400001 30.466084910000063 0, 114.18246276077927 30.466081488690417 0))",0.0,1.0,0.0,0.0,688.0
75,5345.0,5311.0,沌口小学,5.0,1926.0,1872.0,6.0,0.0,11236.0,11236,0.8,service,429,"POLYGON Z ((114.18274956844789 30.4664243509106 0, 114.1827385931509 30.466426508294166 0, 114.18268670400005 30.46643670800006 0, 114.18266903800009 30.46637105700006 0, 114.18261211400011 30.466381958000056 0, 114.18260906300009 30.46637095300008 0, 114.18258890900006 30.466359814000043 0, 114.18256122100001 30.466365283000073 0, 114.1825479580001 30.46638284800008 0, 114.1825509040001 30.466393682000046 0, 114.182587506 30.46652968500007 0, 114.18242274500005 30.466561228000046 0, 114.18241459800004 30.46653095100004 0, 114.18228016900002 30.466556693000086 0, 114.18228831600004 30.466586961000075 0, 114.18212311500008 30.466618591000042 0, 114.18208510900001 30.466477328000053 0, 114.18208215200002 30.466466521000086 0, 114.1820619880001 30.466455391000068 0, 114.1820340380001 30.46646032800004 0, 114.18202134900002 30.46647652200005 0, 114.18202465200011 30.466488905000062 0, 114.18196697500002 30.466499944000077 0, 114.1820144290001 30.46667631100007 0, 114.18204192900009 30.466671046000044 0, 114.18204971900002 30.46669999900007 0, 114.18206813000006 30.466768442000046 0, 114.18271379700002 30.46664481600004 0, 114.18269605700004 30.466578904000073 0, 114.18269612000006 30.466578895000055 0, 114.18280108300007 30.466558646000067 0, 114.1828011560001 30.466558628000087 0, 114.18281892800007 30.466624838000087 0, 114.18289320300005 30.466610656000057 0, 114.18289579300006 30.466620310000053 0, 114.18292076300008 30.466615612000055 0, 114.18291815300006 30.466605895000043 0, 114.18299563700009 30.466591099000084 0, 114.18295242900001 30.466430070000058 0, 114.182779891 30.466463012000077 0, 114.18276862000005 30.466420606000042 0, 114.18274956844789 30.4664243509106 0))",0.0,1.0,0.0,0.0,749.0
76,0.0,0.0,武汉外国语学校小学部,0.0,0.0,0.0,0.0,0.0,0.0,3168,0.0,0,44,0,0.0,1.0,0.0,0.0,211.0
77,0.0,0.0,奥林小学（弘毅校区）,0.0,0.0,0.0,0.0,0.0,0.0,26400,0.0,0,13,0,0.0,1.0,0.0,0.0,1760.0
78,0.0,0.0,三角湖小学官士墩校区,0.0,0.0,0.0,0.0,0.0,0.0,29304,0.0,0,244,0,0.0,1.0,0.0,0.0,1954.0
79,1990.0,2004.0,第一中学,5.0,2002.0,2856.0,4.0,0.0,11424.0,11424,0.8,service,218,"POLYGON Z ((114.14935592947987 30.51139615184819 0, 114.14935784891037 30.511344474965185 0, 114.14935922935818 30.511307479318436 0, 114.14933271984415 30.511307752896084 0, 114.14934195079763 30.511040843920462 0, 114.14934402761929 30.510981904762886 0, 114.14920622972292 30.510984393229425 0, 114.14920467335574 30.511028633439505 0, 114.14884600325718 30.511035056282772 0, 114.14884777856787 30.510980314239116 0, 114.14867621041796 30.510983340626762 0, 114.14855084005667 30.510966794011463 0, 114.14854575152168 30.511143228945215 0, 114.14873696413605 30.51113977760339 0, 114.14873181610668 30.5113140848099 0, 114.14870214730692 30.511314261030734 0, 114.1487008370566 30.51136047499064 0, 114.14870298800122 30.511369407556433 0, 114.14870688703984 30.511377787725486 0, 114.14871241521445 30.511385338828944 0, 114.1487193999658 30.511391828339452 0, 114.1487276187602 30.51139704874288 0, 114.14873680646849 30.51140082542589 0, 114.14874666553972 30.511403051598034 0, 114.14875689856476 30.511403641533565 0, 114.14879809198098 30.51140338198215 0, 114.14925737276016 30.511394001120426 0, 114.14930597198028 30.511395751828132 0, 114.14935592947987 30.51139615184819 0))",0.0,0.0,1.0,0.0,664.0
80,1991.0,2006.0,第一中学,5.0,2002.0,853.0,4.0,0.0,3415.0,3415,0.8,service,219,"POLYGON Z ((114.15036380891746 30.510972508292323 0, 114.15042511386733 30.510864150059774 0, 114.15035641356074 30.510835022485978 0, 114.15033920222331 30.5108654474406 0, 114.15008451601888 30.51075749126447 0, 114.15009604285717 30.510734931664583 0, 114.15008807594604 30.51072970754879 0, 114.15007318929007 30.51072180896896 0, 114.15005727419799 30.510715600010617 0, 114.15004056881499 30.510711158479733 0, 114.15002331094897 30.510708546136915 0, 114.15000572099765 30.510707802997885 0, 114.14997058746583 30.510711945943996 0, 114.14997042058408 30.510734505553774 0, 114.14972787014021 30.510742416249723 0, 114.14972828981357 30.510705863956904 0, 114.1496498736244 30.510708422516625 0, 114.14964851686133 30.510827811493296 0, 114.14968702606885 30.51082655382498 0, 114.1496869126258 30.510836368481485 0, 114.14996935943532 30.510827158096102 0, 114.14996945476497 30.510819391358616 0, 114.14998326540655 30.510819822019894 0, 114.14999494839259 30.510820855322173 0, 114.15000865882314 30.510822825801675 0, 114.15002294593013 30.51082590407965 0, 114.15003984862237 30.51083122676017 0, 114.15003455552898 30.5108415055665 0, 114.15032516335577 30.510964964220655 0, 114.15032906397347 30.510958300015055 0, 114.15036380891746 30.510972508292323 0))",0.0,0.0,1.0,0.0,199.0
81,1995.0,2000.0,第一中学,5.0,2002.0,597.0,4.0,0.0,2391.0,2391,0.8,service,218,"POLYGON Z ((114.14780984478891 30.51120501170034 0, 114.14726432092287 30.51121334057836 0, 114.1472609250056 30.511316373046178 0, 114.14780644983325 30.51130804415024 0, 114.14780984478891 30.51120501170034 0))",0.0,0.0,1.0,0.0,139.0
82,1996.0,2001.0,第一中学,5.0,2002.0,624.0,4.0,0.0,2499.0,2499,0.8,service,218,"POLYGON Z ((114.14782746270156 30.51092142261258 0, 114.14727748020576 30.510924965313446 0, 114.1472727702076 30.511033575226747 0, 114.14781821458888 30.511027340561782 0, 114.14782746270156 30.51092142261258 0))",0.0,0.0,1.0,0.0,145.0
83,1997.0,2002.0,第一中学,5.0,2002.0,607.0,4.0,0.0,2429.0,2429,0.8,service,218,"POLYGON Z ((114.14845804920398 30.510917027005952 0, 114.14791293265844 30.51092169953313 0, 114.14790893420377 30.51102720619588 0, 114.14845437858511 30.511020971531003 0, 114.14845804920398 30.510917027005952 0))",0.0,0.0,1.0,0.0,141.0
84,1998.0,2003.0,第一中学,5.0,2002.0,586.0,4.0,0.0,2346.0,2346,0.8,service,218,"POLYGON Z ((114.1484470004524 30.511201260576517 0, 114.14790100025597 30.511205949646907 0, 114.1478973345656 30.511307765238545 0, 114.14844277898591 30.51130152956962 0, 114.1484470004524 30.511201260576517 0))",0.0,0.0,1.0,0.0,136.0
85,1999.0,2005.0,第一中学,5.0,2002.0,1943.0,4.0,0.0,7774.0,7774,0.8,service,218,"POLYGON Z ((114.15000739375587 30.510948162479654 0, 114.14945325974934 30.510956271325853 0, 114.14944241430918 30.511286366479187 0, 114.14999405419914 30.511279142018076 0, 114.15000739375587 30.510948162479654 0))",0.0,0.0,1.0,0.0,452.0
86,2000.0,2012.0,第一中学,5.0,2002.0,1384.0,4.0,0.0,5539.0,5539,0.8,service,218,"POLYGON Z ((114.15071118715319 30.512015883004835 0, 114.15072036765035 30.511999798999813 0, 114.15072803707976 30.51200335731402 0, 114.15073707919498 30.51200593586374 0, 114.1507505396802 30.512006995079172 0, 114.15076987034647 30.512004236481626 0, 114.15078094041812 30.511999458547177 0, 114.15079475826468 30.51198981670577 0, 114.15080841597283 30.511970922118962 0, 114.15082446688392 30.51197751778549 0, 114.15094179488858 30.511764711452113 0, 114.15092522699044 30.511757968961426 0, 114.15093213918136 30.51174556210224 0, 114.15093514865258 30.51172748986667 0, 114.15093158127344 30.511709588913146 0, 114.15092457858728 30.51169908684294 0, 114.15091348242541 30.511689532206344 0, 114.15089724536566 30.511681496385677 0, 114.15090546362227 30.511666684425027 0, 114.15065979241695 30.511566231128988 0, 114.15062337123224 30.51166502225735 0, 114.15080514747841 30.51174360964161 0, 114.15080863723571 30.51176145586769 0, 114.15081886967315 30.511766782034154 0, 114.15074994747926 30.511893128217842 0, 114.15073262808035 30.511892148268974 0, 114.15071461067899 30.511904453036273 0, 114.15047114302563 30.511803100730507 0, 114.15044824686107 30.51180321035186 0, 114.15045411153972 30.511664648640426 0, 114.15049676407033 30.51166353411277 0, 114.15050514930971 30.511550028884063 0, 114.15041468739832 30.511548427864177 0, 114.15037319272396 30.511586617927506 0, 114.1503722087429 30.51166413539304 0, 114.15032841794185 30.511663981084716 0, 114.15032244974357 30.51180893827999 0, 114.15036502123301 30.511808104165794 0, 114.15036095842537 30.51190678810451 0, 114.15040568252392 30.511906390221984 0, 114.15040588225138 30.511901400460122 0, 114.15046014222773 30.511900914343435 0, 114.15071118715319 30.512015883004835 0))",0.0,0.0,1.0,0.0,322.0
87,2001.0,2013.0,第一中学,5.0,2002.0,1000.0,4.0,0.0,4001.0,4001,0.8,service,218,"POLYGON Z ((114.1500772846927 30.511982685685805 0, 114.15007952590841 30.51193022026378 0, 114.15011016275814 30.511930204493627 0, 114.1501726356364 30.511929825458722 0, 114.15018297636863 30.51169650771919 0, 114.15016202360198 30.511696750502484 0, 114.1501637553572 30.511645526577254 0, 114.15009472533832 30.51164611364468 0, 114.14991235559845 30.51164765382654 0, 114.14987528882547 30.511647966540824 0, 114.14979922541431 30.511648605024703 0, 114.14979685563789 30.511705761921878 0, 114.14987160254958 30.51173701348442 0, 114.14987202091872 30.511726843997447 0, 114.14987913407931 30.51172679209067 0, 114.15007598403847 30.5117251172583 0, 114.15007583063064 30.511733092750358 0, 114.1500851436773 30.51173305182652 0, 114.15008475733148 30.51174160652681 0, 114.1500969511041 30.51174109232434 0, 114.15009021721654 30.511892968041064 0, 114.15008045683031 30.51189341862918 0, 114.15008073406081 30.511901957896768 0, 114.15006986466912 30.51190224064102 0, 114.15006995632034 30.511908806028572 0, 114.14957286589586 30.511911112729553 0, 114.1495721541036 30.511930313715098 0, 114.14955582403442 30.511963452946638 0, 114.14964558081434 30.511997505408118 0, 114.14964591786271 30.51198893357271 0, 114.14980485024151 30.511988275594323 0, 114.14989483553897 30.511987356409644 0, 114.14989245082879 30.51204781419294 0, 114.14997235901211 30.512047484954827 0, 114.1500772846927 30.511982685685805 0))",0.0,0.0,1.0,0.0,233.0
88,2002.0,2014.0,第一中学,5.0,2002.0,1033.0,4.0,0.0,4132.0,4132,0.8,service,218,"MULTIPOLYGON Z (((114.14918727139356 30.512061464531108 0, 114.14911270412148 30.512109879626028 0, 114.14908328645316 30.512161979016106 0, 114.14908174150459 30.512227009823963 0, 114.14907853657613 30.512310026406453 0, 114.14911471290702 30.512309633049796 0, 114.14911416190257 30.512324079756795 0, 114.14961128753198 30.512318741657342 0, 114.1496087830951 30.51238363894128 0, 114.14962517145763 30.51238983402325 0, 114.14964394771832 30.512354447922664 0, 114.14966447337933 30.512319810582344 0, 114.14968671629174 30.512285982797604 0, 114.14971355086911 30.51224921788849 0, 114.1497404111525 30.512219948586978 0, 114.14932681205018 30.51222439311225 0, 114.14932885889868 30.512171218036894 0, 114.14935484194551 30.512109370414887 0, 114.14918727139356 30.512061464531108 0)), ((114.14918727139356 30.512061464531108 0, 114.14920807881828 30.512047954826627 0, 114.14914660342615 30.51204983808114 0, 114.14918727139356 30.512061464531108 0)))",0.0,0.0,1.0,0.0,240.0
89,2003.0,2015.0,第一中学,5.0,2002.0,1324.0,4.0,0.0,5299.0,5299,0.8,service,218,"POLYGON Z ((114.14960100539764 30.51288701167652 0, 114.14959477722188 30.512842767723072 0, 114.14959320364315 30.51275755826627 0, 114.14960575705142 30.512635103495175 0, 114.14963012964283 30.512554621042778 0, 114.14956598758718 30.51253819723037 0, 114.14953822433898 30.512544250778195 0, 114.14916332983945 30.51254782423121 0, 114.14906899833396 30.512508338680057 0, 114.14906406996361 30.512631835507698 0, 114.14910021306676 30.51263150597622 0, 114.14909963330832 30.512645926134574 0, 114.14953431467421 30.512641788174744 0, 114.1495254043869 30.512862110459356 0, 114.14914093309083 30.512868431455797 0, 114.14905691724721 30.512831068222532 0, 114.14905221410821 30.512952849333566 0, 114.14908847793454 30.51295225670376 0, 114.14908793785821 30.512966694177244 0, 114.14957333175599 30.51295870950084 0, 114.14957263637498 30.51295455011114 0, 114.14960968545296 30.512948636729323 0, 114.14960100539764 30.51288701167652 0))",0.0,0.0,1.0,0.0,308.0
