,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
2021,1203214,12032140,29346,29346,othmaint,non_mandatory,4.0,16.0,10.0,11.0,WALK,,,,86,,0out_0in
2022,1203785,12037850,29360,29360,othdiscr,non_mandatory,20.0,16.0,10.0,12.0,WALK,,,,87,,1out_0in
2023,1208385,12083850,29472,29472,shopping,non_mandatory,5.0,16.0,9.0,10.0,WALK,,,,71,,0out_0in
2024,1208388,12083880,29472,29472,social,non_mandatory,13.0,16.0,11.0,21.0,WALK,,,,109,,0out_0in
2025,1208593,12085930,29477,29477,social,non_mandatory,5.0,16.0,8.0,22.0,WALK,,,,68,,0out_0in
2026,1210804,12108040,29531,29531,shopping,non_mandatory,20.0,17.0,10.0,12.0,TNC_SHARED,,,,87,,0out_0in
2027,1211173,12111730,29540,29540,shopping,non_mandatory,19.0,17.0,14.0,14.0,DRIVEALONEFREE,,,,135,,0out_1in
2028,1212193,12121930,29565,29565,othmaint,non_mandatory,5.0,17.0,7.0,15.0,WALK_LRF,,,,45,,0out_0in
2029,1213177,12131770,29589,29589,othmaint,non_mandatory,4.0,17.0,16.0,17.0,WALK,,,,155,,0out_0in
2030,1213715,12137150,29602,29602,shopping,non_mandatory,16.0,17.0,11.0,13.0,WALK,,,,101,,0out_0in
2031,1213716,12137160,29602,29602,shopping,non_mandatory,19.0,17.0,17.0,17.0,SHARED2FREE,,,,162,,2out_0in
2032,1213707,12137070,29602,29602,othdiscr,non_mandatory,16.0,17.0,21.0,21.0,DRIVEALONEFREE,,,,184,,0out_0in
2033,1213718,12137180,29602,29602,social,non_mandatory,10.0,17.0,13.0,13.0,SHARED2FREE,,,,124,,0out_0in
2034,1213871,12138710,29606,29606,othdiscr,non_mandatory,18.0,17.0,15.0,17.0,WALK,,,,147,,0out_0in
2035,1214429,12144290,29620,29620,escort,non_mandatory,11.0,17.0,8.0,8.0,SHARED3FREE,,,,54,,0out_1in
2036,1214658,12146580,29625,29625,shopping,non_mandatory,17.0,17.0,15.0,15.0,WALK,,,,145,,0out_0in
2037,1216011,12160110,29658,29658,shopping,non_mandatory,5.0,17.0,18.0,19.0,WALK,,,,170,,0out_1in
2038,1222407,12224070,29814,29814,shopping,non_mandatory,16.0,17.0,9.0,10.0,WALK_LRF,,,,71,,0out_0in
2039,1222858,12228580,29825,29825,shopping,non_mandatory,11.0,17.0,10.0,13.0,WALK,,,,88,,0out_0in
2040,1222850,12228500,29825,29825,othdiscr,non_mandatory,17.0,17.0,14.0,16.0,WALK,,,,137,,0out_0in
2041,1226360,12263600,29911,29911,escort,non_mandatory,23.0,17.0,18.0,19.0,SHARED2FREE,,,,170,,0out_0in
2042,1226379,12263790,29911,29911,othmaint,non_mandatory,9.0,17.0,10.0,11.0,SHARED3FREE,,,,86,,1out_2in
2043,1226387,12263870,29911,29911,social,non_mandatory,16.0,17.0,11.0,14.0,WALK,,,,102,,0out_0in
2044,1226388,12263880,29911,29911,social,non_mandatory,12.0,17.0,19.0,19.0,DRIVEALONEFREE,,,,175,,1out_2in
2045,1226753,12267530,29920,29920,shopping,non_mandatory,5.0,17.0,10.0,10.0,WALK_LRF,,,,85,,0out_0in
2046,1227330,12273300,29934,29934,social,non_mandatory,15.0,17.0,10.0,16.0,BIKE,,,,91,,0out_0in
2047,1227527,12275270,29939,29939,othmaint,non_mandatory,4.0,18.0,9.0,15.0,TNC_SINGLE,,,,76,,0out_0in
2048,1227528,12275280,29939,29939,othmaint,non_mandatory,13.0,18.0,16.0,17.0,DRIVEALONEFREE,,,,155,,0out_0in
2049,1230722,12307220,30017,30017,othdiscr,non_mandatory,19.0,21.0,12.0,19.0,WALK,,,,119,,1out_0in
2050,1232100,12321000,30051,30051,escort,non_mandatory,20.0,24.0,13.0,13.0,SHARED3FREE,,,,124,,0out_1in
2051,1232124,12321240,30051,30051,shopping,non_mandatory,5.0,24.0,15.0,20.0,WALK,,,,150,,0out_0in
2052,1232862,12328620,30069,30069,shopping,non_mandatory,8.0,25.0,16.0,20.0,TNC_SINGLE,,,,158,,1out_0in
2053,1232854,12328540,30069,30069,othdiscr,non_mandatory,11.0,25.0,12.0,15.0,WALK_LOC,,,,115,,0out_0in
2054,1232835,12328350,30069,30069,eatout,non_mandatory,14.0,25.0,10.0,10.0,WALK,,,,85,,0out_0in
2055,1232985,12329850,30072,30072,shopping,non_mandatory,5.0,25.0,11.0,13.0,WALK,,,,101,,0out_0in
2056,4412754,44127540,107628,107628,eatout,non_mandatory,6.0,6.0,12.0,12.0,WALK,,,,112,,0out_0in
2057,4414025,44140250,107659,107659,eatout,non_mandatory,5.0,6.0,18.0,18.0,WALK,,,,169,,0out_0in
2058,4414055,44140550,107659,107659,social,non_mandatory,12.0,6.0,19.0,20.0,TNC_SINGLE,,,,176,,0out_0in
2059,4414517,44145170,107671,107671,eatout,non_mandatory,7.0,6.0,18.0,19.0,WALK,,,,170,,0out_0in
2060,4416392,44163920,107716,107716,social,non_mandatory,17.0,6.0,14.0,14.0,WALK_LRF,,,,135,,0out_0in
2061,4418166,44181660,107760,107760,eatout,non_mandatory,6.0,7.0,16.0,19.0,WALK,,,,157,,0out_0in
2062,4421793,44217930,107848,107848,othdiscr,non_mandatory,5.0,7.0,20.0,20.0,WALK_LOC,,,,180,,0out_0in
2063,4422165,44221650,107857,107857,othmaint,non_mandatory,5.0,7.0,15.0,15.0,SHARED2FREE,,,,145,,0out_0in
2064,4429709,44297090,108041,108041,othmaint,non_mandatory,22.0,8.0,12.0,16.0,WALK_LRF,,,,116,,1out_0in
2065,4429717,44297170,108041,108041,social,non_mandatory,24.0,8.0,18.0,21.0,WALK,,,,172,,0out_0in
2066,4430242,44302420,108054,108054,othmaint,non_mandatory,5.0,8.0,10.0,10.0,BIKE,,,,85,,0out_0in
2067,4430239,44302390,108054,108054,othdiscr,non_mandatory,5.0,8.0,18.0,21.0,WALK,,,,172,,0out_0in
2068,4434134,44341340,108149,108149,othdiscr,non_mandatory,10.0,8.0,18.0,18.0,WALK,,,,169,,0out_0in
2069,4436679,44366790,108211,108211,othmaint,non_mandatory,12.0,9.0,6.0,15.0,WALK_LRF,,,,28,,0out_0in
2070,4436676,44366760,108211,108211,othdiscr,non_mandatory,24.0,9.0,17.0,21.0,BIKE,,,,166,,0out_0in
2071,4445021,44450210,108415,108415,eatout,non_mandatory,7.0,9.0,9.0,14.0,WALK,,,,75,,1out_0in
2072,4468418,44684180,108985,108985,shopping,non_mandatory,19.0,10.0,20.0,21.0,WALK,,,,181,,0out_0in
2073,4470796,44707960,109043,109043,shopping,non_mandatory,17.0,10.0,21.0,21.0,WALK_LRF,,,,184,,0out_0in
2074,4486745,44867450,109432,109432,shopping,non_mandatory,12.0,10.0,17.0,19.0,WALK_LOC,,,,164,,0out_0in
2075,4486746,44867460,109432,109432,shopping,non_mandatory,5.0,10.0,21.0,21.0,TNC_SHARED,,,,184,,0out_0in
2076,4486737,44867370,109432,109432,othdiscr,non_mandatory,9.0,10.0,21.0,21.0,WALK,,,,184,,0out_0in
2077,4488093,44880930,109465,109465,othmaint,non_mandatory,12.0,10.0,8.0,16.0,TNC_SHARED,,,,62,,0out_0in
2078,4488094,44880940,109465,109465,othmaint,non_mandatory,1.0,10.0,20.0,20.0,WALK,,,,180,,0out_0in
2079,4489410,44894100,109497,109497,shopping,non_mandatory,5.0,10.0,13.0,14.0,BIKE,,,,125,,0out_0in
2080,4490066,44900660,109513,109513,shopping,non_mandatory,5.0,10.0,11.0,13.0,DRIVEALONEFREE,,,,101,,0out_1in
2081,4490067,44900670,109513,109513,shopping,non_mandatory,19.0,10.0,13.0,13.0,TNC_SINGLE,,,,124,,2out_0in
2082,4490370,44903700,109521,109521,escort,non_mandatory,9.0,10.0,15.0,16.0,WALK,,,,146,,0out_0in
2083,4490394,44903940,109521,109521,shopping,non_mandatory,12.0,10.0,9.0,9.0,BIKE,,,,70,,0out_0in
2084,4490736,44907360,109530,109530,eatout,non_mandatory,19.0,10.0,10.0,15.0,WALK,,,,90,,0out_0in
2085,4493502,44935020,109597,109597,othdiscr,non_mandatory,20.0,10.0,10.0,14.0,WALK_LOC,,,,89,,0out_1in
2086,4493546,44935460,109598,109598,othmaint,non_mandatory,19.0,10.0,15.0,15.0,TAXI,,,,145,,1out_1in
2087,4493543,44935430,109598,109598,othdiscr,non_mandatory,22.0,10.0,5.0,13.0,WALK_HVY,,,,8,,0out_0in
2088,4497009,44970090,109683,109683,eatout,non_mandatory,19.0,10.0,19.0,19.0,WALK_LOC,,,,175,,0out_0in
2089,4512469,45124690,110060,110060,escort,non_mandatory,9.0,11.0,7.0,8.0,TNC_SHARED,,,,38,,0out_1in
2090,4521527,45215270,110281,110281,eatout,non_mandatory,5.0,14.0,15.0,16.0,WALK,,,,146,,0out_0in
2091,4522407,45224070,110302,110302,othdiscr,non_mandatory,11.0,14.0,18.0,21.0,WALK,,,,172,,0out_0in
2092,4526510,45265100,110402,110402,othmaint,non_mandatory,2.0,16.0,15.0,15.0,WALK_LOC,,,,145,,0out_0in
2093,4526488,45264880,110402,110402,eatout,non_mandatory,16.0,16.0,12.0,12.0,SHARED2FREE,,,,112,,0out_0in
2094,4528811,45288110,110458,110458,shopping,non_mandatory,2.0,16.0,13.0,17.0,TNC_SHARED,,,,128,,0out_0in
2095,4528814,45288140,110458,110458,social,non_mandatory,21.0,16.0,9.0,11.0,WALK,,,,72,,0out_0in
2096,4528815,45288150,110458,110458,social,non_mandatory,22.0,16.0,17.0,21.0,WALK,,,,166,,0out_0in
2097,4543530,45435300,110817,110817,shopping,non_mandatory,16.0,16.0,13.0,14.0,SHARED3FREE,,,,125,,0out_0in
2098,4543525,45435250,110817,110817,othmaint,non_mandatory,5.0,16.0,14.0,17.0,WALK,,,,138,,0out_0in
2099,4544755,45447550,110847,110847,othmaint,non_mandatory,9.0,16.0,7.0,10.0,WALK_LOC,,,,40,,0out_0in
2100,4544752,45447520,110847,110847,othdiscr,non_mandatory,20.0,16.0,10.0,12.0,WALK,,,,87,,0out_0in
2101,4551607,45516070,111014,111014,shopping,non_mandatory,11.0,16.0,10.0,13.0,WALK_LOC,,,,88,,0out_0in
2102,4551580,45515800,111014,111014,eatout,non_mandatory,5.0,16.0,13.0,18.0,WALK,,,,129,,0out_0in
2103,4562587,45625870,111282,111282,othdiscr,non_mandatory,4.0,16.0,10.0,15.0,WALK_LOC,,,,90,,0out_1in
2104,4578093,45780930,111660,111660,shopping,non_mandatory,16.0,16.0,19.0,19.0,BIKE,,,,175,,0out_0in
2105,4579733,45797330,111700,111700,shopping,non_mandatory,14.0,16.0,11.0,14.0,WALK_LOC,,,,102,,0out_0in
2106,4579706,45797060,111700,111700,eatout,non_mandatory,12.0,16.0,16.0,20.0,WALK_LOC,,,,158,,0out_0in
